খুলেনা	Don't open
ঘটনাটা	The incident
ভাইদেরকে	To the brothers.
প্রোফাইল	Profile
কঠরতা	Toughness
এদেশীয়	It's country
স্টাইল	Style
রিমানডে	Rymande
নওয়াব	Nawab
মরছে	Dying
আপনারতো	Yours
বিধানের	Of the law
হিপ	Hip
রপ্ত	
সাধ্য	As much as possible
আপু	Apu
বাহারি	External
সন্তাস	Saints
ডিস্ক্রিপশনে	In description
চাইছে	Wants
লাগ‌লো	Lag lo
মোগলাই	Moghlai
ভাইএর	Brother's
বটপড়টা	The bot
হেদায়েত	Guidance
লেনের	Lane's
কমেন্টে	In the comments
সেলিব্রেটিও	Celebrities too
হচ্চেনা	It's not
কিকেটার	Kiketer
কলার	Collar
সকলকে	All
তুলি	Tully
এতগুলি	So much
খাদ‍্যগলিডেকার্স	KhadaGlideckers
সেলেব্রিটি	Celebrities
অ্যাকুরিয়ামে	In the aquarium
চাইতেও	More than
আপনিেএকটু	You a little bit
12বাজাইছে	- 12 Played
হুদদা	Hudda
দেখাবে	Will show
ফুসকার	Fuskar
উদেশ্য	Purpose
ধানমন্ডী	Dhanmondi
আড়ালে	Behind the scenes
পাপকে	Sin
বাংলাদের	Bengalis
কচ্ছপের	Turtles
দিকপাল	Directional
পাবলিকও	Public also
মোঃপুর	Md.
মিলনের	Union
নামি	Nami
হিল্লল	Hillel
পড়েছিল	It fell
বিজেতাকে	The winner
গৃহবন্দী	House arrest
সহজাত	Innate
নাইন	Nine
অই	That's it.
হাতিটা	The elephant
এপ্লিকেশনের	Applications
মুখটা	The face
টম	Tom
চলবো	Let's go
ইতালিয়ানো	Italiano
গরিবরে	The poor
গনপিটোনিতে	In Gonpitony
নেয়ার	To take
খারায়	Kharay
পোর্টাল	Portal
অলসতা	Laziness
মুলতঃ	Basically:
পিদা	Pieda
দেশবিদেশ	Country and abroad
খীদে	In the field
প্রশাসনের	Administration
উম্মোচন	Opening
সেন্সুরিয়ান	Sensuarian
বাড়ানোর	Increase
কাঞ্চনজঙ্ঘা	Kanchenjunga
রাকা	Raqa
পুশু	Pushu
ব্যাগ	Bag
সংবাদের	News
ওয়াল্টনের	Walton's
তারাই	They are
শোনে	Listen
নিশ্চিয়	Sure
চিল্লাচিল্লি	Chillachilli
জর্দান	Jordan
ধ্যাত	Dhat
রংপুর	Rangpur
সরল	Plain
সর্বশক্তিমান	Omnipotent
হাচিনা	Hachina
ডেসক্রিপশনে	In the description
সৃষ্টিকর্তাকে	To God
দিলেই	Given
দুর	Far from
বাঙ্গালির	Bengalis
লঙ্কা	Lanka
খাঁটি	Genuine
গ্রেনেডের	Grenades
দম	Suffocation
দুইহাত	Two hands
তালিকা	List
কাঠে	In the wood
হ্যাং	Hang
নখ	Nails
হেলো	Hello
অব্যাহত	Continue
ন‌িসন্দেহ‌ে	No doubt
মিথ্যাকে	Lies
পাওয়াটা	Getting
শেরেবাংলা	Sher-e-Bangla
সরানো	Moved
পলিফেনল	Polyphenols
উড়বে	Will fly
লঙ্গরখানা	Langarkhana
ইতিহাসে	In history
রাজনীতিবিদরা	Politicians
অমাজন	Amazon
হাঁটাটা	Walking
বিসিবি	BCB
টেকনিশিয়ান	Technician
হেয়ার	Hair
দয়া	Please
বাংগালিয়ানা	Bangladesh
কাঁদতে	Crying
ছুইটা	The needle
যাওতে	To go
সেঃ	He:
তোকে	To you
বাসষ্ট্যাণ্ড	Bus stand
প্লাষ্টিকের	Plastic
ফলোয়ার	Followers
কেপল	Keppel
মাওয়াঘাটের	Mawaghat
উপাদেয়	The source
দৌলোদিয়ার	Daulodiyar
ছুরিটা	The knife
ডাকাতিকে	Robbery
পোর্ক	Pork
সরিসার	Sariser
১টা	1 p.m.
সন্ত্রাসের	Terrorism
টুকরা	Pieces
জিনিস্	Stuff
বরবর	Barbary
তিন্নি	Tinni
জীর্ণ	Dilapidated
ইউনিকোড	Unicode
ভাইয়েরা	Brothers
সংঘাতের	Conflict
ব্যপারটা	That's the point
চ্যালেঞ্জে	In the challenge
শ্যুট	Shoot
নিলাম	Auction
আপার	Upper
চেতনাবাজ	The spiritist
চাপেরই	Under pressure
পড়বে	Read
রামিয়ন	Ramion
জাবো	Jabo
আড়	Aar
আন্দুলনের	Andulon
এইহানে	Here it is
ত	T
জাতীকে	To the nation
কিশের	Kisher
পলাশের	Palash's
বিজয়ই	Victory.
লিবিয়া	Libya
হাঁস	Ducks
স্ন্যাক্স	Snacks
হ্যালু	Hello.
প্রবাসেই	Abroad
উত্তোলনের	Lifting
পিকসিন	Piccin
নাম্বারে	In numbers
চেনার	Identifying
অাচরন	Behavior
সুনিশ্চিত	Ensure
মাইতি	Maiti
বিচে	On the beach
খুবই	Very
অপরুপ	Disambiguation
ঝুনুর	Jhunur
দিলা	Dila
আরেকটারে	Another
চিপায়	Chippy
রেটিং	Rating
খাবারটাই	The food
মেয়েগুলা	Girls
কিছুতেই	At all
ইয়েস	Yes.
খাশ	Khash
তুলুনা	Tuluna
ঢুকাইয়া	Inserted
খাসী	Khasi
বাংলাদেস	Banglades
জল	Water
চেহারাই	The look
কালি	Ink
কণ্ঠে	In voice
গাওয়াতে	In singing
থাকমু	I'll stay
ছিটানো	Spraying
কল্লোল	Kallol
বাড়বে	Will grow
দুর্নিতি	Mistreatment
আব্দুর	Abdur
পর্দানশীন	Curtains
আকাম	Akam
পাপ	Sin
চাইছিল	He wanted
আত	At
সত্তেউ	Satteu
মেইনলি	Mainley
ব্বেসা	Bbesa
কোয়ালিটি	Quality
ওভেনে	In the oven
ঘোড়া	Horses
পতারনা	Paterna
দেবতার	The gods
আদর	Greetings
পতিতার	Prostitutes
নেয়াই	Take it
নিলেন	Taken
বিরল	Rare
আগিয়ে	Ahead
টেলিফোন	Telephone
সেটাপ	Setap
উচ্চতর	Advanced
খাচ্ছেন	Eating
স্বাস্থ্যবান	Healthy
খরচে	At the expense of
নাহিদ	Nahid
খেয়েছেন	Ate
এখনই	Now
দাড়াই	Let's stand
এলার্ট	Alert
আচার্য	Acharya
হত্যাকান্ড	Murder
শ্যামলীর	Shyamali
গরিবের	The poor
জাগবে	Wake up
তায়ালা	Ta'ala
সন্ত্রাসীকে	The terrorist
কিসনা	Kissna
ঘাড়	Neck
ফিশফ্রাইটা	Fishfryta
কমেডি	Comedy
বেইচ্চা	Beechcha
ঘুঘু	Pigs
ব্লগে	On the blog
চাকা	Wheel
সুভ	Subh
দোকানের	The shop
বিরোধীদের	Opposition
দিছিল	It was
আসামীদের	Defendants
আস্থাহীনতায়	Lack of trust
জন্মায়	Born
ঊল্টো	Upside down
কালাভূনা	Kalavuna
লুপে	In the loop
সংখ্যা	Number
বলতেন	He used to say
শুনাছ	You hear
ইউনাইটেডের	United's
একনিষ্ঠ	Dedicated
অপরাধের	Crime
খায়নি	Didn't eat
উপাদান	Element
কাবাবে	Kebabs
গুলা	
সম্পদশালী	Rich
দূর্ঘটনা	Accidents
বিকালে	In the afternoon
পা‌রি	Pa re
খ্রীস্টানের	Christians
টিকা	Vaccines
নর্দমার	Sewers
ফেসবুক	Facebook
বুঝতেছিনা	I don't understand
সারোয়ার	Sarwar
ডালটা	The branch
নামাজ	Prayer
১৯০	- 190
অ্যাপাচার	Apache
করাও	Do it too
প্রোডিউচার	Producers
শোচনীয়	Pathetic
মানুশ	Manush
ব্যাপারটার	The thing
পারলল	Perl
খাওয়ার	Eating
পর্যবেক্ষণের	Observations
অসব্য	Unspeakable
পুর্বগ্রাম	Purbagram
লে‌গে	Le Gaye
মাদা	Female
তোমাগো	Tomago
দ্বিতীয়বার	For the second time
একবারের	Once in a while
ভেজালকারীদের	Vandals
লাঠির	The stick
ওপি	OP
নাচতাছোস	Dancing
ডাক্তারকে	The Doctor
কমালেন	Reduced
বড়জোর	Greatness
ছাড়লো	Left
খাওয়াবো	I'll feed
হিসাব	Account
রি‌কো‌য়েস্ট	Re Co- est
এরচেয়ে	Rather than
অনেকাংশে	To a large extent.
মরবেনা	Don't die.
পারবা	Can
মূত্র	Urine
বলক	Bollock
ভালোকরে	Well done
না্ম্বারটা	The number
দিনেই	In the day
কলিজা	Liver
দেওন	Deon
কিরুপ	How
এখানকার	Here
ক‌রি	A r e r
এগোনো	Moving on
কনফিউজড	Confused
নেওয়াজ	Newaz
মোটরস	Motors
খাউয়া	Khawa
বরাদ্ধ	
মার্ডার	Murder
কুতা	Kuta
যাতায়াত	Travel
বানিয়ে	Created
চালার	Chaler
সাতখরা	Seven droughts
শিক্ষক	Teacher
দেশীয়	Native
সোনাগাছির	Sonagachi
আব্বার	Dad
খোলামেলা	Openly
হোটেলগুলিতে	In hotels
হইছিল	It was
সমস্যার	Problem
ভার্তা	Varta
সিসি	CC
পাপে	In Sin
খেতেই	To eat
যন্তনা	Zantana
আলখাল্লায়	In Alkhalla
সুবিধাবঞ্চিত	Disadvantaged
বারাসাতের	Barasat's
গ্রামে	In the village
পরাধীনতার	Subjugation
ভাইফুল্লাহ	Waifullah
সর্ম্পকে	About
ছাত্রীরা	Students
নিস্বার্থ	Selfless
একমত	I agree.
দিয়েও	With
উঠিয়ে	Lifted
এলেই	When it comes
খাইলেও	Even if you eat
কৃষ্টিকালচারকে	To culture
বামে	Left
লেখাই	Writing
মংগল	Mangal
প্রেস	Press
সৌদিআরবে	In Saudi Arabia
আনকেল	Uncle
নিয়া	Nia
রেজিস্ট্রেশনের	Registration
একনম্বর	Number one
মুড	Mood
অরাজকতা	Anarchism
বাড়ি	House
পারলেও	Even if you can
ভাংগালী	Bhangali
নূরুল	Nurul
কন	Con
মতিজিল	Motizil
হানকার	Hanker
সথে	With
জলের	Water
ডকুমেন্টারি	Documentary
পৃথিবীটা	The world
আলোরর	Light
আকর্ষণীয়তা	Attractiveness
প্রবাসীরা	Expatriates
কীটদের	Insects
বিয়েতে	At the wedding
বাঁচাতে	To save
সাতকরার	Seven
সৌরভ	Sourav
পূতি	Putty
ফোনটি	The phone
ফান	Van
পেকেটে	Packets
পেকেট	Packets
এক্সপেক্ট	Expect
অবস্থাতেই	In the situation
ব্যক্তির	Person
বেজরমা	Bejarma
সত্যজিৎ	Satyajit
চাস	That's it.
কতটুক	How many
হিসাবেবেড়াতেও	In accounting
চেংরাবান্ধ	Chengrabandh
৭৮	- 78
শিক	Shik
হয়েছ	It's been
অস্বস্তিজনক	Uncomfortable
জন্ন‌্য	John
হোলাম	Hollam
তোমায়	You
ভিষা	Bhisha
দ্বিতীয়	Second
রেন্ডিদের	The Randy's
ল্যাংটা	Langta
ট্যাক্স	Tax
হাংকি	Hanky
পাবি	Pub
তখনই	If
নির্বিকার	Unflinching
মাসুদের	Masud's
অঙ্গের	Organs
মাশাআললাহ	Mashallah
পুরে	In the pur
মায়েরা	Mothers
পলুসির	Palusi
এক্সাটলি	Exatly
রিজক	Rizk
ইউনিক	Unique
আইনালের	Ainal
জেতো	Win it
ফর্ম	Form
কিরে	Kire
অাসতে	As
তেলবাজি	Oil trading
নকি	Nucky
ব্লুগার	Blueger
হোসেন	Hossein
একবার	One time
মানবতার	Humanity
সানক্রিম	Suncream
রিয়েল	Real
খাদ‍্যগলি	The ditch
দানকর	Charity
চিরজীবনের	Forever
কেজিতে	In kg
সালারা	Salara
থাকেন	Stay
ভাসানী	Bhasani
অ্যাশচেন	Ashchen
উদের	Wood
আল্টিমেট	Ultimate
বিরুধি	Opposition
তোমায়	You
নেতিবাচক	Negative
তাড়াচ্ছে	Chasing
কায্যকর	Kazyakkar
শতভাগ	100%
ইসলামিক	Islamic
গালিবয়	Galleyboy
সহযোগিতা	Collaboration
মাউথপিসটা	Mouthpiece
ইফেক্ট	Effects
চিংড়ীর	Shrimp
বচর	Butcher
ঐ	That
মাস্তি	Masti
মারুতি	Maruti
যতক্ষন	As long as
পসেস	Poses
ভগ	
বাচায়	Save
নির্বাচনের	Selection
্৩৫	- 35
ফরম	Form
হচ্ছিল	It was
খনি	Mines
পদানশিল	Padanshil
ব্রুস	Bruce
আার	And
গলানো	Melting
ছোলা	Chickpeas
দেওয়াটা	Giving
নুডুলসগুলো	Noodles
উঠলো	Got up
কামে	In the works
রাষ্ট্রপতির	The President
ক্ষমতাসীন	The ruling
জিনজিরায়	In Jinjira
ভয়েস	Voice
চুয়ে	Chuye
বাপিদার	Bapida
নির্ঘাত	Nonsense
জিরো	Zero
সীতাভোগ	Sitabhog
কাচা	Raw
শুনতাম	I listened.
আদর্শের	Of ideology
বিদেসে	Bidesse
ভিদেশী	Videsi
সমাদর	Regards
সমৃদ্ধ	Enriched
মালুদের	Malud's
পাশেথাকুন	Stay by side
জাহিদের	Zahid's
ফিরিয়ে	Reverted
রাসুলঃ	The Prophet:
ভীড়	Crowds
পরিবেশকদের	Distributors
আসেন	Came
নিবা	Niba
স্টল	Stalls
পেছন	Back
উঠতে	To get up
করি	I do
সিংহ	Singh
মাংসটাও	The meat, too.
সত্যটাই	The truth
আরাল	Aral
যথার্থ	Fair enough
শেকলে	Shackle
মিটাইতে	In Mitai
জনপ্রিয়	Popular
হীরক	Diamonds
পরিচালকের	Director
আকাশ	The sky
গালাগালি	Abuse
মসনদ	Masnad
কারীম	Kareem
গত	Last
অনিহা	Reluctance
পক্কেই	Pakai
ঔষধি	Medicinal
মানুষজনদের	People
বুনকে	To Boone
পছন্দের	Options
বুঝস	You get it.
জাতিরা	Nations
সামবাদিক	Contemporary
খিচুরী	Khichdi
সিটের	Seats
আব্দুল	Abdul
সেইটাতো	That's it.
ব্রিলিয়েন্ট	Brilliant
তাওহীদ	Tawheed
জাযাকাল্লাহ	Jazakallah
ফ্লট	Float
ভোটান	Vote
তথাকথিত	The so-called
চোদরা	
এপার	Across
দেখসি	See
গ্রামীনফোন	Grameenphone
এইটা	This is
ব্লগারের	Bloggers
লোকদেখিয়ে	Showing people
আপরাধ	Guilt
নারীবাদীরা	Feminists
বরাবরের	Always
কিপটে	Kipte
মারলে	If you kill
আপনাদের	You
তল্লাশি	Search
স্বচ্ছ	Transparent
অবাক	Surprised
তরফ	Taraf
অাবালে	In the past
পোলোগরে	Pologree
৫জনের	- 5
পড়লে	If you read
কব্জী	Wrist
চাইনি	I didn't
যন্ত্রণায়	In pain
আপ্লুত	Overwhelmed
পরিবারকেও	Family too.
বোবাকান্না	Dumb tears
ফার্স্ট	First
করতেছেন	Doing
কেরালা	Kerala
রাজনীতিবিধরা	Politicians
মুড়ি	Muri
ক্যামেরায়	On camera
কিছুরি	Something
সেভেন	Seven
পাহাড়েত	On the mountain
নৈতিকতা	Morality
ফজলুল	Fazlul
লক্ষ্মীপুর	Laxmipur
গুছিয়ে	Sorted
মাদারীপুরের	Madaripur
নাতনি	Grandchildren
হয়না	It doesn't.
ওয়ারেন্টি	Warranty
বার্বিকিউ	Barbecue
কস্তুরী	Kasturi
পুরষ্কার	Awards
থাকবনা	I won't
সন্তান	Child
স‌রি‌য়ে	S r e r
বাততি	Arthritis
আদনানকে	To Adnan
পরেছিল	Later
শাস্তিও	Punishment as well.
খাওয়ায়	Feeding
অাপলোড	Upload
১২০৪	1204
লাড়েচাড়ে	The ladd
আলাম	Alam
এসমস্ত	All of this
চালানো	Run
কতৃক	By
মানুষও	People too.
কন্যা	Daughter
খুনিেদের	The killers
হাতদুটো	Hands
পাইলি	Pyle
ডাক্টার	Doctor
দেখাচ্ছেন	Showing
টেলেন্টদের	Talents
মুক্তি	Release
আমেরিকায়	In America
বাচানোর	Saving
পায়ের	Feet
গুটি	Bunches
বেরাশ	Berash
মশলা	Spices
সহর	Sahar
শোডাউন	Showdown
বোধহয়	Perhaps.
এইসবের	Of these
ডিপার্টমেন্টের	Department
শপগুলোতেও	Even in shops.
মোজলেই	Mosley
বাচ্ছাদের	The children
চোদেরদের	
সার্কুলার	Circular
পযর্ন্ত	Until then
ওরে	Oh.
তেহেরি	Teheri
সত্নান	Satanan
দোসার	Dosar
অনেকের	Many
কমেনট	Comnot
রংকিং	Coloring
তারিখে	On
করিসনা	Don't
রেখ	Keep
লোকেশনটি	The location
ওবাইদুল্লারে	Obaidullare
ছিটে	Scattered
মাখানো	Rubbing
পেপে	Pepe
উদ্ভট	Bizarre
উপন্যাসের	Novels
খাট	Cot
ডেজার্ট	Dessert
পাপের	Sin
ওই	That
খুঁজ	Looking for
মাইয়ারে	Meyer
বাঙ্গি	Bungie
তাকেন	Why him
মানূষের	Man's
প্যরাডাইস	Paradise
বাড়িতেই	At home
ঘুঁপচি	The snoring
গাইবান্ধার	Gaibandha
উরি	Uri
প্রাণে	In life
ঝামেলাে	In trouble
বলিয়েন	Ballyon
লেখেন	Written by
হইলা	It's
হ‌য়ে	Yes.
চটকান	Sticky
পেয়েছি	Got it
পুরুষ	Man
কিউট	Cute
খাবই	I'll eat
লিগে	In the league
জারি	Issued
নিউমার্কেট	Newmarket
সাহিত্যিক	Literary
কুত্তারবাচ্ছা	Puppy's baby
ব্যারিয়ারটা	The barrier
খাইদাই	Khaidai
ডায়রিয়া	Diarrhea
বললেও	Even if you say
ইমোশনাল	Emotional
লজ্জায়	In shame
টিপে	Press
প্যাচাল	Patch
দীর্ঘদিন	For a long time
বড়আব্বা	Big Dad
সৈনিকদের	Soldiers
জারা	Zara
ফি্রি	Fury
ফুডব্লগিং	Foodblogging
সরা	Removed
সাথেরগুলা	With
প্রস্তুতের	Ready
টাকাটা	The money
শিখলো	Learned
শোষন	Absorption
হোয়েছে	Hoy
বয়সে	Age
উছিলায়	In the oolands
বলছিলো	He said
ধৈর্যের	Patience
জমজমাট	Huge
শ্রীনগর	Srinagar
দিচ্ছেন	Giving
লক্ষ্যণ	Targeting
হাফেজও	Hafez too
স্পেস	Space
ইয়াং	Yang
মেথি	Fenugreek
পরিস্তিতি	The situation
টাইট	Tight
মাঝারি	Medium
বড়পূজার	Big worship
ব্লগারদের	Bloggers
তত্ত্ব	Theory
৮০০	800
নুরজাহান	Nurjahan
দেখের	See
নাকটা	The nose
দিচ্ছিনা	I don't
নাম্বারেদেরকে	To the numbers
পরিপূর্ণতা	Perfection
কিছু	Some
এ্যাংকর	Anchor
জিগাতলারে	In Jigatla
বাতাসে	In the air
গড়ে	Average
গোলা	Gola
তোলর	Toler
নাইবা	Or
নরপশুদের	Cannibals
লাগাটা	The lag
আনে	Brings
সবচাইতে	The most
ত্রকটু	Traktu
নালিশ	Complaints
বাউতাবাজি	Rhetoric
ক্রেডিট	Credits
লোকত	People
আন্কেল	Uncle
জানার	To know
দুর্ধর্ষ	Rogue
প্রিথিবির	Prithibi
প্রসঙ্গে	Context
বলিনি	I didn't
শ্রী	Mr.
স্থানে	Location
বালিগঞ্জে	In Ballygunge
ওয়ালার	Waller
একবাৰ	Once
দুজনেই	Both
সাজা	Punishment
সিসির	CC
মুঘলে	In the Mughals
মিশন	Mission
জ্ঞানের	Knowledge
থার	Thor
পোলাপাইন	Polapine
ভ্লগিং	Vlogging
খাবারগু‌লো	The food
কুরআনের	The Qur'an
বসিরহাট	Basirhat
হোটেলটা	The hotel
ফ্যামাস	Famus
মোড়েই	At the intersection
দুজনকে	Both
করলেইতো	It does.
দ্যা	The
জোগদিলাম	I added
চেয়েছি	I wanted
সাদা	White
মর্মাহত	Shocked
টোল	Tolls
অপরেশ	Aparesh
দি‌য়ে	Di
জোড়ে	Adds
আতও	Ato
বৌদি	Sister-in-law
কিতা	Kita
গলায়দড়ি	Neck rope
এক্সপেন্সিভ	Expensive
বানাব	I'll make
চাপায়	Pressed
অামিও	Ameo
প্রজেক্টে	In the project
জড়ায়া	Get involved
গাড়িতে	In the car
আ‌ছেন	A
টাইপের	Type
পতিষ্টান	Prostitutes
দাদীর	Grandma's
আ‌মি	A M
গড়িমসি	Delay
বাচ্চার	Child
অাচার	Ethos
চারিদিকে	All around
আরবে	In Arabia
ছিলাম	I was
আওয়াতায়	In Awata
নেয়েছেন	Taken
পৃথিবির	Earth
রাবার	Rubber
পশ্চিমবঙ্গ	West Bengal
পিছনেও	Back also
প্রতারক	Cheating
বসার	Sitting
পিছের	Back and forth
উওম	Um.
গতানুগতিক	Traditional
অনুসরন	Follow-up
সন্দেশ	Sandesh
কাজগুলোতে	In tasks
নাড়ির	Pulse
অর	Or
লাঠিয়াল	Sticks
উত্তরার	Northerner
এইখানের	Here
পানসিতে	In Pansy
পাপনেরও	Papon's too
জিভ	Tongue
বরজন	Burjon
এইরুকম	Aerucum
এইতো	That's it
খন	
বন্ধে	In closure
ভাগনির	Niece
প্রতিষ্টিত	Established
ছায়া	Shadow
নেয়াটা	Taking
দিয়ো	Give it
পাফন	Puffon
মোবালই	Mobley
লাস্টের	Last
ইন্ডিকেট	Indicators
রাতের	The night
পরিনতির	Consequences
আসল	Original
কৱে	How
হাজবেন	Hazbe
বিহাইন্ড	Behind
বিপদে	In danger
বউর	Wife
বকশিষ	Bakshish
তাবিবও	Tabib too
বিয়া	Bea
সর্ণ	Sorn
হাসপতাল	Hospital
গাইডের	The guide
আসি	Come on
দেরাদুন	Dehradun
পাবদার	Pubder
বটতলার	The bottom
পো	Po
প্রশংসনীয়	Admirable
ঝাজড়া	Jhajra
পেয়েই	Got it
বাশির	Bashir
০	0
বাংলাদেশীরা	Bangladeshis
মেযেটা	The girl
আয়ু	Life expectancy
সম্পক্কে	About
পিংকি	Pinky
দিলাও	Dilao
দেখাও	Show me
অস্থির	Unstable
এক্সপার্ট	Expert
অমিত	Amit
কৃতজ্ঞ	Thanks.
ভালনা	Not good.
সহমত	Agreed
কালেক্ট	Collect
কুক্তার	Kuktar
এরপরের	The next
আপরাথী	Aparathi
জুম	Zoom
নবাবী	Nawabi
বিশয়	Bishy
চাইবেনা	Don't want to
চ্যানেলেটা	The channel
রক্তচোষা	Bloodsucking
হাভাতেগুলোর	Havate's
বামদিকে	To the left
ফিলআপ	Fillup
পিটাইয়া	Beating
মাথা	Head
আঃ	Ah
হুগায়া	Hugaya
পূরণ	Puri
ভুতে	Ghosts
ডে	Day
মারবো	I'll kill
তালুতেও	Even in the palm
শ্রেণীর	Class
ময়মনসিংহের	Of Mymensingh
চেষ্টা	Try
হচ্ছে…	It's...
মারি	Murray
আকর্ষণীয়	Interesting
থাকিস	Stay
ন্যাশনে	In Nation
গোবেট	Gobet
নস্টালজিক	Nostalgic
সোনায়	In gold
আলহামদুলিললা	Alhamdulillah
বই	Book
ফেডেড	Fed
দইয়ের	Yogurt
ইস্যুতে	On the issue
বাঃ	BA:
থা‌কে	Who is Tha?
ঘোড়ার	Horses
পক্ষ	Party
আসসালামুলাইকুম	Assalamulaikum
বন্দ	Band
রেডিও	Radio
এদেশেই	In this country
পূর্বে	Before
পুলারা	Pulaira
এদিকে	Meanwhile
রেটিঙে	Ratings
কইরেন	Karen
পিঁয়াজের	Onions
শুকোবেনই	Dry up
তাগ	Tag
অংশটুকু	The part
দিসে	Disse
তারেক	Tarek
বাড়ল	Increased
ধাপ	Step
প্রাণবন্ত	Lively
উন্নয়ের	Development
এখনোও	Still.
সক্ষম	Enable
অতিথিপরায়ণ	Hospitable
প্রয়োজনে	If needed
দুলাভাই	Brother-in-law
পরিবারই	Family
উঠছে	Getting up
স্পেশালই	Special
হেবাং	Hebang
করম	Karam
অনুসারে	According to
সকালের	Morning
মাউরা	Maura
ব্যাটনটা	The baton
আহমেদ	Ahmed
বার‌ছে	Time out
চার	Four
বোম্বাই	Bombay
অন্নন্ননেক	Annanek
বোতল	Bottles
স্থায়ীভাবে	Permanently
ফর্ক	Fork
পালটাবেন	Change
সিসিটিভির	CCTV
শান্তিতেই	In peace
ডং	Dong
এখনও	Still
যেদেশের	The country where
ইনফোর্মেশন	Infomercial
মানুষ্	People
কালাইয়ের	Kalai
হারা	Lost
ফাঁটানো	Cracking
দলাপাকানো	Swampano
৪৪	- 44
১৩০০	1300
খাদ্যও	Food too.
প্রতিদিনে	Every day.
শরীল	Sherrill
অনুষ্ঠান	Program
ছড়িয়ে	Spread
কেহই	No one
উপকারী	Useful
কিডনির	Kidneys
অজানা	Unknown
খাচ্ছে	Eating
ডাল	Pulses
মানুষগুলা	People
সাংবাদিকক	Journalists
চালিয়ে	Continue
৮০	- 80
দিতেছ	You give
বসেছে	Sitting
মেঘপুঞ্জি	Clouds
নরশিনের	Narshin's
নিউজের	In the news
দোকানে	In the shop
পারল্ম	Perm
পোলাপান	Polapan
নবাবগঞ্জ	Nawabganj
ভাবিকি	What do I think?
আবেগে	In passion
হকের	Hawkeye
দান্ডা	Danda
মুল্লোক	Mullok
চুদনা	
সত্য	The truth
অংেশ	Anghesh
বিত্তবানদের	The rich
অয়	Hey.
বিজনেসে	In business
বোরহানিও	Borhanio
ভাঙ্গা	Broken
বুঝবেন	Understand
দিজলাইক	Dislike
উনার	His
ঝলা	Flash
বংশাল	Genealogy
কাঙলু	Kanglu
চেনেলটি	The channel
আসানসোলে	In Asansol
গাইবেন	Sing
অামরাও	We too
ক্যান্টিনের	The canteen
উপস্থাপনায়	In presentation
গ্যংটক	Gangtok
পুশআপ	Pushups
ভুত	Ghosts
করতাছি	I'm doing
একটার	One
উটি	Ooty
সাইট	Site
বন্যপ্রাণী	Wildlife
দোস	Doss
ছলবে	Cheating
জী	Yes.
কয়টি	How many
সস	Sauce
রান্নাবান্না	Cooking
অমক	Amak
গাদ্দারি	Gaddari
বেস্যা	Bessa
মেয়েটা	The girl
লুপ	Loop
টিকিটে	On tickets
মরুক	Die
বিচিচর	Bitchchar
ফ্রেঞ্চ	French
আসব	I'll come
কাজকে	To work.
প্রতারনা	Deception
উনিই	It's him.
কলম	Pen
জাগাইতে	To wake up
প্রভাবশালী	Influential
চুদায়	
আড়ালের	Behind the scenes
ইচছা	Ichcha
মগের	Mugger
ডায়বেটিস	Diabetes
এআর	AR
ভ্রমণমূলক	Travelogues
দাড়করায়ে	Standing
কারিদের	The Curries
দুইটি	Two
বাংগলি	Bengali
দইয়েরে	Yogurt
চাঁপাইনবাবগঞ্জ	Chapainawabganj
বিব্রতকর	Embarrassing
মারানোর	To kill
বিশ্বকাপে	In the World Cup
প্লাস	Plus
জীবনটাকে	Life
১৬০	- 160
এক্সাইটমেন্টটাও	The excitement is also
তাইলেতো	So it's
প্রেসিডেন্ড	President
আওয়ামী	Awami League
২২০	- 220
সম্রাজ্য	Empire
বাবে	For
হসিটা	Hasita
মায়রে	Myre
নিতেছে	Taking
টাকা	The money
সুতারং	Sutarang
নকশার	Design
শপে	In the shop
চালাও	Run
দুবার	Double
খাগড়াছড়ি	Khagrachhari
রুটিটা	The bread
ভেবেছে	Thought
মেসেজটা	The message
হুগা	Huga
এসির	AC
পার্কে	In the park
রইল	Here it is.
ক্যাফেটেরিয়া	Cafeteria
পরিবেশগত	Environmental
গালাজের	Gallagher
কাররো	Carro
জাতিগত	Ethnicity
ইমানদার	Believers
একটারও	Not one
মাংস	Meat
রিভিউর	Reviewers
পাপীদের	Sinners
সামর্থ	Ability
রহিন্গা	Rahinga
এমপিরা	MPs
ফুটো	Leak
শোন	Listen.
ভতা	Bhata
পরিস্কারও	Cleanup too.
মানুশের	Manush's
তবেরে	But then
চ্যালা	Chala
জানি	Know
কেরকম	How about
কারাকারি	Karakari
ইদুরে	Rats
দিমু	Dimu
ব্যবহারে	Use
হাউসটা	The House
অপরাদি	Others
গোবরের	Dung
শিলং	Shillong
রেস্টুডেন্টে	In restaurants
কইতাছে	Where is it?
প্রথমের	The first
প্রসরায়	In the process
শিল্প	Industrial
এভেলেবেল	Avelabel
পকেটের	Pocket
কাজে	Work
একটাকা	One
ইনসার	Inser
ডেভেলপ	Developed
হাতিকে	To the elephant
ভরেনা	Don't fill
খুলতো‼	Open it!!
গাউসুল	Gausul
সৌন্দর্য্য	Beauty
হাস্পাতালের	Hospital
মুক্তির	Release
ওইটাই	That's it
যেসব	Those who
স্বল্পভাষী	Short-lived
জ্বি	Yes.
আপনিও	You too
আ	A
