असलामवेल्कम	AslamWelcome
भाइजान	Brother
नमक	salt
डेनवाल	Denval
खोखली	Hollow
राजेस्थान	Rajasthan
असलाम	Aslam
आँखें	Eyes
खायी	Eat
काई	water-moss
मॉर्निंग	Morning
फैलता	Spreads
जिदा	Alive
सैनिक	soldier
गाओ	Sing
सबस	All
पोचा	Pocha
अवल्स	Awles
हसरत	longing
तस्वीर	picture
सिर्फ	alone
घास	gra
अनेक	more than one
दीख	Look at
फेन्स	Fans
जानुअरी	Januari
हत्या	murder
मिल्टा	Milta
सम्भाल	Take care
बुना	Woven
उल	Ul
लूटा	Robbed
आनु	Anu
दूसरी	Second
करनेवाला	Doer
साथियों	Peers
मोधी	Modhi
लड़की	The girl
झाड	whisk
जायदा	More
खेलें	Play
वालेकुम	Walekum
वेगवेगवेग	Velocity
सिखना	Learning
लिखू	Write
ज़माना	time
क्यूंकी	Because
स्वाद	taste
चुड़ा	Chuda
सजा	punishment
जी	Yes
अरेय	Hey
खातू	Khatu
स्कते	Skate
कुमार	prince
हालत	state
वा	or
चार्नन	Charnon
युवाओं	Youth
सोये	Sleep
शम्झो	Shamzo
शर्म	shame
ख्र्ल	
पटने	Patne
चुलबुल	uneasiness
घटना	event
पार्स	Parse
इम्प्रेस	Impress
भीन	Bhin
पागल	mad
पिछ्ली	Previous
हुए	Happened
ओरजान	Orjan
वेडनस्डे	Wedsday
बिबियो	Bibio
बीटे	Beta
लाडो	Lado
मनाये	Celebrate
कमन्त	Low
सकल	gross
कार्येकाल	Tenure
जन्हित	Born
दिखानी	Show
रापत	Rapat
प्क्कका	Pakka
उप्पर	Upper
अंधा	blind
जान	knowledge or information
गोपाल	cow-keeper
मूवी	Movie
कबूतर	pigeon
पेहन	Wear
शत्रछाया	Enemies
कदो	Kado
अजीब	wonderful
सीड	Seed
आमादमिकिसरकार	The Government of India
लोगो	logo
अक्का	elder sister
बैथ	Beth
कोंग	Kong
चुड़	Chud
मरना	to die
हरकटी	Movement
शिकार	prey
नैनसाफी	Nansafi
दुख्ती	Pain
मुंह	mouth
इबाद्त	Worship
अकम	Akam
लाइक	Like
उस्सी	Ussi
शिंदे	Shinde
टेक	prop
अमिताभ	Amitabh Bachchan
ठट	That's it
आरी	small saw
मार	Cupid
बाली	earring
महिलावों	Women
इंतेजार	Waiting
इयूल्यूहाओक	Iuluhaok
भूहू	Bhuhu
पड़ा	laid aside
चेले	Disciples
बस	Bus
बैठी	Sitting
औंगा	Aunga
महीना	month
कुड़ने	Jumping
यरर	Yarr
लेक्स	Lex
भोक्सदा	Bhoksda
रहता	Lives
जैगा	Wake up
मिलोन	Milon
सबी	All
बिजान	Bijan
अंबानी	Ambani
गम	gum
मिली	Found
केर्टी	Kerty
माही	fish
बचा	escape
भाइयों	brethren
छेरे	Chhere
घटनायें	Events
अपकी	Yours
भाले	Spears
पागले	Crazy
यात्री	traveller
बेलीवे	Belloway
आजाओ	Come on
आयसा	Aisa
ताकली	Takli
ओविसे	Ovise
फेले	Failed
राहता	Stay
कशिश	attraction
अप्डिये	Apdiye
राहू	Rahu
एकडम	Absolutely
बहुमत	majority
समाज्जाओ	Understand
उफ	Oops,
स्वगथ	Welcome
कार्था	Cartha
द्र्शन	Vision
सिटी	City
तारानाम	Taranam
हजीर	Hazir
अरबिंद	Arbind
सुन्ते	Sunte
किई	Kii
ब्र	B.R.
दुकानो	Shops
जायेंगे	Will
लागये	Got it
हसलम	Haslam
टोडके	Todke
नक्से	Maps
राखोगेजरा	Keep it
बाल्की	Balki
कृष	Krish
मेरा	my
मुस्किल	Difficult
देखाई	Seen
संगत	company
कोय	Koy
बाल्म	Balm
कुंबा	kinsfolk
आजादी	freedom
सारल्ली	Saralli
विधान	arranging
हिहिही	Hihihi
आसाइया	Asaiah
जरुर	Must
दिख्ता	Look at it
क्रदो	Do it
स्वच्भारत	Clean India
स्मिलिंग	Smiley
इंट्यजर	Integer
मेल्जोल	Interaction
पहुच	Access
राहकता	Stay
शक्तिशाली	potentate
जितेगा	Will win
चूउथ	Chuth
गायराही	Missing
अथन्निया	Athania
खेल	game
देखे	Viewed
तुम	you
बहाउत	Excuse
पीन	fat
बिपाक्षा	Bipasha
कुत्त	The dog
ज़माना	time
चैनल	Channel
माफिक	Mafiq
चूड़	Bangles
सभे	Meeting
आपके	Your
दुवाये	Links
पंखुरी	petal of a flower
पटली	
लागते	It takes
बोर	a dip
टोपे	Top
वलोबसी	Valobasi
मोझ	
थिंग	Thing
छाड़ी	Stick
दिज्ये	Give it
बेवडे	Bevde
केरा	Kera
कुवारा	Kuwara
आगरा	Agra
नाइक	Naik
ग्रेसी	Gracie
बोलेटो	Boleto
बैकचोडी	Backchody
परेशान	confounded
न्यूज	News
किप	Kip
प्ले	play
बिचरे	Poor
ह्लो	Hello
बुखारी	silo
शांत	cool
डर्ते	Fear
अछे	Good
लेनी	Seek
ग्वा	Gua
गाढो	Donkeys
मए	Mae
धक्के	Shock
औलाद	progeny
मज्से	Majse
उतरवता	Landing
नीलम	sapphire
फरमाईश	Farmaish
ज़लिल	Jalil
चुनावों	Elections
लेलिया	Leliya
हहाहा	Hahaha
इंका	Inca
पाढले	Read
आवसम	Avsam
ज्येनगे	Jyenge
हमरी	Ours
इस्पार	Ispar
मस्धोनी	Masdhoni
कराइन	Karen:
चेला	disciple
सीस	head
बुहत	Great
रम	rum
गद्दार	quisling
बातें	Things
आसु	Tears
वोह	Wow
भगौ	Run away
हीई	Hey
स्ट्री	Stree
चलाही	Walk
फरज़ीवाल	Farziwal
मेल	connection
मुरली	flute
ऑफ	Of
उडबिलाओ	Fly
डेमाग	Demag
आलसी	lazy person
रंग	colour
रखे	Placed
स्वगट	Swagut
जलसे	From the water
भेजी	Sent
नक्को	Nakko
गौतम	Gautama
खिलाड़ी	player
बकवास	
ती	She
करेन	Karen
खोइलुंगा	I will lose
खोलुंगा	I will open
नही	No
हरमपाना	Harampana
क्यो	Why
पंक्चर	puncture
ताज़गी	freshne
भरस्टाचार	Corruption
रोकना	Hold up
अकसले	
करवाया	Orchestrated
सनल	Sanal
होलिबस	Holibus
हारी	Hari
रहामाई	Rahmai
फॉर्मेट	Format
जाब्र्डस्थ	Jabrashth
क्योकी	Because
पुरुस	Male
काटुओ	Katuo
क्रिकेट	cricket
उन्हे	Them
कियो	Why
हध	Hadh
ओनली	Only
नागपुर	Nagpur
मुंबर	Mumbar
पड़ेगी	Will fall
ह्र	
आशीष	Ashish
छ्लता	Cheating
नूर	light
मोहोब्बत	Love
ठरु	
तलाश	search
लुभा	Tempting
व	The twenty-ninth consonant of the Devanagari syllabary
उनका	their
खाड़े	Standing
भैठो	Brother
किसने	who
उतारते	Downs
राजन	Rajan
हल्के	Lightweight
देहली	threshold
होगेया	Will it happen?
सम्झा	Samjha
उन्हो	They
यह	this
अनुग्रह	favour
बाकी	except
भीड़	crowd
नाशीनो	Nashino
एह	Eh
मैंने	I
शर्मनाक	shameful
लोगू	Logu
पिलाव	Baby
सेंड	Send
लिखता	Writes
जायेंगी	Will go
उ	The fifth vowel of the Devanagari syllabary
हद्द	Limit
माहोल	Atmosphere
बोर्डर	Boarder
रेह	alkali or brackish soil
जाआ	Go
रेल	rail
हत्ते	Hats
लीआ	Leah
चेगे	Chege
गजाब	Amazing
करवाके	Get it done
खाडे	Standing
लगोज	Lagoz
आपका	your
अपनाओ	Adopt
गाली	abuse
साकी	saki
हरवा	Lose
युद्ध	war
ब्कक्यूहल्सिक	Bakkullsic
भुके	Hungry
पर्हताय	Parhatay
टोटके	Totke
सुन्चिकापन्डे	Sunchikapande
बादाओ	Badao
केया	What
बैट	bat
भग्त	God
ब्रेक	Break
अंग्रेजी	english
बीकुफो	Bekufo
असलम	Aslam
तोडुंगी	I will break
इज्जत	honour
सके	Can
क्रिकेट्सगर	Cricketsgar
एल	el
जूता	shoe
सेरा	Serra
अरिहंत	Arihant
दीखती	Looks like
हम्पे	Hampe
मेहँगा	Expensive
अगाई	Agai
प्रीति	affection
इल्म	knowledge
सुनाई	hearing
वक्त	opportunity
न्जर	Njar
कहेने	To say
लूग	Lug
रहते	Live
टमहे	You are
साइड	side
पुच्ती	Poochti
प्यारी	darling
कोई	so
इक्से	Ikse
पैगा	Paiga
खरीद	buy
समुंदर	sea
प्रिया	darling
लिंग	male genital organ
हातौ	Hands
बोलिया	Bolia
खूबसूरती	Beauty
लगेंगे	Take
फॉर्मूला	Formula
दप	Sw
जिन्हे	That
ठिक	proper
सरब	Sarab
कुउउहराए	Why
ओढ	Draw
प्राडर्शन	Presentation
अफरन	Afran
ईमानदार	honest
अकीब	Akib
उटारो	Utaro
रेकॉर्ड	Record
काहू	A hardwood tree Lactuca sativa
मित्रा	Mitra
रब्बा	Rabba
हज़ार	one thousand
नकाम	Failure
एडमिट	Admit
सुबह	morning
अति	very much
कमाओ	Earn
देखोंगा	I will see.
हेड	head
हबितनी	Habitani
हिला	wave
खेलोडुमलागके	Play games
होथा	Hoth
दिखाया	Shown
कचरे	Waste
भासन	Bhasan
जाएँगी	Will
एसे	Such as
असर	effect
माइन	Mine
क्रिकेटकॉम्पेरे	CricketCompere
मादा	female
करणी	surd
ज़्माना	Zamana
बदत्त	Big
परसन	Person
अनहोन	Unborn
उआल्लू	Uallu
बेनाना	Benana
झादू	Broom
पक्ष	side
भाइजा	Brother
इतनी	So
क्रवाग	Kravag
हरवाने	Losing
नामा	letter
थम	stop
त्कजबक्पिअत	Tkjabakpiat
हांसी	Laugh
जागरुक	awake
चोकी	Choki
जिये	Live
ताकदीरवाला	Takdirwala
मुंचें	Stage
चदनेवाला	Climber
केजरीवाल	Kejriwal
शोना	Shona
जेस	Jess
भारमिनी	Bharmini
मुकेश	Mukesh
हुउउ	Huu
बातांगा	Batunga
काड	cod fish
सुन	hear
असलामुअलेकुम	Assalamualaikum
जैयो	Jio
स्टैंड	stand
लूटाई	Robbed
पित्ना	Beating
वाराणसी	Varanasi
खैर	the tree acacia
नासा	nose
जियोहाजरोसाल्कव	Jiohajrosalkov
पंचोली	Pancholi
कर्नाटका	Karnataka
माया	illusion
राहा	Stay
बनवाये	Made
भार	obligation
डुपर	Duper
दिलवाते	Gives
आगिया	Agia
पूचा	Pooch
चेतवनी	Warning
लुब	Lub
कार्के	Karke
सभयता	Fear
बचना	to be saved
हुमी	Humi
जोश	zeal
मस्ती	drunkenness
गॉट	Gott
दुस्रा	The second
मुगेरीलाल	Muggerilal
रोज़	everyday
कहताई	Says
बालकुम	Balakum
कोज	Coz
शामत	bad luck
बरबर	Barbar
लाख	lac
माने	meaning
कुंजियान	Keys
होप	Hope
क्लास्माई	Classmai
पाक	pure
जलते	Burning
साकू	Saku
तुल्लू	Tulu
गोन	sack of grain
घुमटे	Ghumte
जहा	Where
पकरू	Pakru
टकर	Tucker
दूदर्शिता	Foresight
य	The twenty-sixth consonant of the Devanagari syllabary
साचा	Sacha
बाथ	Bath
वीर्पलबाथिंडा	Virpalbathinda
अक्षिता	Akshita
सीखना	To learn
गेट	gate
सिखो	Learn
देशोभा	Country
डालकें	Put in
बाचा	Bacha
युग	pair
सर्ग	canto in an epic
च	The sixth consonant of the Devanagari syllabary
बुलायें	Call
खात्म	End
जलदी	Fast
अर्थत	That means
जैहो	Jai
अह	Ah
देखनी	View
विट	Witt
फुटेंगे	Will burst
टुनी	Tuni
आदमी	man
काम्बख्तो	Kambakhto
नहे	Not
मना	forbidden
बनाना	to make
जायिये	Go
आलू	potato
अक्टोबर	October
निब्जीत	Nibjit
होचुकी	It's done
मुल्ला	Muslim priest
साराह	Sarah
चाला	auspicious moment of departure
हमेसा	Always
ट्रू	True
कब्जा	hinge
अलावा	moreover
डम्ब	Dumb
येतो	Coming
आफत	pain
मिज़ाज	nature
रोकी	Stopped
रहताहु	I live
वर्ल्ड	World
शेर	couplet
टेडे	Tede
झुकना	to bend
बदा	Big
फाटा	Cracked
क्रुगा	Kruga
मैग	Mag
लेजये	Take it
आवाज़	voice
सद	Sad
किराया	rent
पुर्ण	Complete
फरज़ी	Farzi
बिल्डिंग	building
बट	Twist in a rope or string
गाड़ी	cart
अलसी	linseed
जितेगी	Will win
ठंडी	cold
देखी	Seen
यार	friend
जिसके	Which
सुचिई	List
बॉलीवुडकालिंग	Bollywood Calling
फी	Fei
ग्लोव्स	Gloves
बरबादी	ruin
बिखर	Shattered
नगर	town
उन्नारू	Unnao
ऐप्को	Apco
पैट	Pat
ओए	Oy
लगभाग	Approximately,
प्रतियोगिता	competition
ऐशराजावत	Aishrajawat
दिल्लीबासी	Delhiites
नकफफतन	Cash
हम्मे	We
खिलारी	Player
चोर्ड	Chord
असिर्वाद	Ashirwad
सूरत	countenance
शाम	Evening
भिजवा	despatch
शुद	Pure
दिखाते	Show
तैयर	Ready
सॉरी	Sorry
यायरो	Yayro
फीलिन	Phyllin
अताक	Attak
जयराम	Jairam
डूब	Depth or place enough for drowning
खिचेगा	Will pull
चैट	chat
लुंच	Lunch
पड़ेगा	Have
फेक	Fake
मॉम	Mom
क्वी	Qui
कैटी	Katy
सज़ा	punishment
डेर	Der
ममद	Mamad
खर्चा	payment
कमलेश	Kamlesh
फ्रुस्टेट	Frustat
असही	Not right
ओरिचय	Orichy
छुपाने	Hide
पराग	pollen
पके	Ripe
कंबल	blanket
सुधरोगे	Will improve
दौर	circle
टेरिशे	Teriche
भाईजाई	Brother
धोका	Danger
सुपरहिट	Super hit
हिमत	Himat
कराची	Karachi
साला	Brother-in-Law
खेलो	Play
करना	to do
चक	large plot of land
ब्लॉग	blog
पेदाईश	Pedaish
हसिल	Achieved
द्रमेबाज़	Drummer
तुतना	Tutina
जितनी	As
कण	particle
संस्या	Problems
गू	human excreta
टोच	Toch
मुहुम्बत	Mohabbat
चा	tea
सुनाओ	Listen
टैंक	water tank
पुचे	Ask
साइज़	size
आएगी	Will
समर्थक	seconder
उस्पर	Usper
लगाटर	Lagter
जाऊ	Let's go
किरेन	Kieran
निकलने	Get out
भरतभियाँ	Bharatbhaiyan
तिवारी	ti
घर्मे	At home
डार्न	Darn
वीड	weed
आल	All
हैं	Hey ! stop that !
सीट्स	Seats
डिडेज	Didage
नतीजे	Result
ओरिजिनल	Original
गाने	Songs
गिरने	Falling
आसा	Asa
ब्ध्या	Midday
जदू	Magic
सक्सेनानुरग	Saxena
खाते	Account
आप	self
बहास	Debate
साधी	Simple
जेटेंज	Jettenz
आओ	Come
खिलवाड़	play
आतंकी	Terrorist
मे	In
डूबेगी	Will drown
तुहाडे	Your
हुन्न	Hunn
ब्तमीज़	Btamez
शाकाल	Shakal
रामदेव	Ramdev
मिलू	Meet
खेलाओ	Play
हंन्न	Hann
पेहन्ते	Wear
चाहियाए	Want it
शर्मा	Sharma
आदब	Adab
राजनीति	politic
चोडु	Chodu
भार्वा	Bharwa
फोटो	Photo
मोहल्ले	Neighbourhood
दुसरो	Others
डेग्रासी	Degrassi
भूख	hunger
हाउगी	How will it be?
हक्क	Right
फ्ले	Flay
गड़ी	Gadi
बंदे	Fellow
स्म्पली	Smpley
वाकिफ	Aware
बैजन	Baijan
करोगे	Would
विन्ती	Request
झुऊत	Jhoout
छुटकला	Escape
अनकल	Ankal
रखो	Keep
बारी	time
लाडिया	Ladiya
कछुआ	turtle
बिरयानी	biryani
बनवाने	To build
पटखाय	Crackers
रिस्पेक्ट	Respect
आर्यभट्ट	Aryabhata
वाता	The wind
हहाहाहा	Hahahaha
भाटिजो	Bhatijo
जुनून	madness
मेज़े	
करोन	Karon
आइंट	Aint
येमैन	Yeman
फिल्म	film
ईतो	Eto
सोभी	Sobhi
इफ	If
पहचानो	Recognize
भैयो	Brothers
पूछो	Ask
पार्सन	Parsons
एक्साइट	Excite
विश्वास	faith belief
पेप्सी	Pepsi
क्लिक	Click
खोलेंगे	Open
बजय	Instead of
मस	Hairs on the face which appear first in early youth
ख्या	
मन्ने	Manne
दाकार	Dakar
कूडते	Jumping
बटलता	Batta
लिखना	To write
अकबार	Akbar
शान्दर	Beautiful
बनालो	Make it
लगताहाई	Looks like
पापाओ	Papa
कमाई	earning
टोनिघ्त	Tonight
कन्यादान	Giving away one’s daughter in marriage
चामरा	Chamara
कफी	phlegmatic
पिनी	Pini
बलकुल	Balkul
हर्कटेन	Harkten
लैगबाग	Lagbag
बाज़ी	game
हटके	Away
वोट	vote
कहेन	Say
क्रोर	Krore
सिखेर	Sikher
बाचो	Save
फॉर	For
गैप	Gap
औरत	woman
कोर	point
प्यास	thirst
भरोसे	Trust
देक्ति	Decti
फ्री	Free
ऑर्टो	Orto
मातलब	Meaning
बाटा	Bata
बिहारित्वीतर	Non-Bihar
भें	
नाइट	night
मन्ट	Mant
चीज़	thing
दहिया	Dahiya
अनोखा	strange
राफु	Rafu
दिल्लीवाले	Delhiites
ल्यो	Lyo
अवल	Aval
महारानी	The principal wife of a raja
पालिका	ear-lobe
काकर	Kakar
पैसी	Pacey
कनाडा	Canada
केसेहे	How is it?
नरन्द्र	Narendra
सलुते	Salute
खिलाने	Feeding
अके	Ake
मदरचोड़	
बटाउ	Tell me
डोंगी	canoe
कैसेन	Howsen
वटवर्ण	Whites
ज़रुरी	necessary
जेहमत	Courage
कार्टून	cartoon
होजाइगी	Will be done
कुवारी	Virgin
अपो	Apo
धंधा	occupation
माता	small pox
अप्राध	Uncommitted
उच	High
मेगलाय	Magalai
बिचारा	without any resource
सेखों	Sekhon
लखनऊ	Lucknow
इशांत	Ishant
जिमी	Jimmy
बोझ	burden
लड़के	Boy
हुये	Happened
लाठी	long steff
केसा	How
फराह	Farah
बात	talk
अकाल	famine
सबनी	All
रफ्ता	Rafta
ब्टायन	Tell me
देदे	Give it
बॉडीगर्ड	Bodyguard
गुड़गांव	Gurgaon
खबीस	Khabees
कागता	Kagata
सफर	journey
सीना	to sew
शर्मके	Shame
खनानी	Khanani
कोडबेस	Codebase
अगी	Fire
निकलते	Stepping
विथ	With
मुकदर	Muqaddy
शरीफ	sheriff
मैरे	Mary
फत्ते	Fatte
एय	Ay,
नौकरी	service
माहेरबानी	Maherbani
फैसल	Faisal
मौकेपेचौक	Opportunity
आधिक्र	
शरत	autumn
भारतवासियो	People of India
ज़रूरी	necessary
कान्हा	Kanha
जेसन	Jason
पीरियड	period
अचाई	Okhai
खोले	Opened
सुर्खियाँ	Headlines
अकाउंट	Account
थीन	Thein
जगने	Waking up
महापुरुष	great man
सिटियुटेशन	Citation
अंकित	imprint
लिखुंगा	I will write
मोरोन	Moron
बडिया	Badia
बीता	A measure with one’s hand with the thumb and little finger stretched
समित	Samit
झुठ	Lie
भोस्दीवाले	Bhosdiwale
कोशिश	effort
युक्ति	argument
हने	
होजा	Hoja
बिरजू	Birju
हत	Hat
डाउन	down
क्यों	why
गड्डी	pack of cards
वालाय	
मुहह	Muhah
नसीब	fate
इमंदार	Honest
जावे	Go
अराए	Hey
पद्ज्ञा	Designation
हरने	Losing
राहने	Stay
बच्चो	Children
कक्षाओ	Classes
टोपा	covering for the head
मिल्के	Milke
इस्लाम	Islam
पिली	Pili
फॉल	Fall
टोडना	Break
रागे	Anger
भाद	Rent
अकबर	Akbar the great Mughal emperor
ज्टका	Jtka
करावोगे	Will do it
जरुर्त	Need
छोध	Leave it
लॉट	lot
ओचलो	Ochloon
वापसी	return
शर्ट	Shirt
चालने	Walk
भगोगे	Run away
हिल्ते	Moving
छोड़ो	Leave
फिरंग	Firang
गोल	round
अफवाह	rumour
सबका	Everyone's
मातोंडकर	Matondkar
ओह	oh! ha! good heavens!
उसे	her
कौन	who
बुराई	evil
बंजाथाय	Banjathaya
प्रियंका	Priyanka
माटर	Mater
इधर	hither
बनोज	Banoj
स्रहद	Sir,
यॉर्क	York
गब्बरसिंह	Gabbar Singh
यहे	Here
भूलता	Forgetting
फूल	flower
बिच	In the middle
चेरापूंजी	Cherrapunji
चिंदी	a small piece
राउंड	Rounds
जवान	young
चबर	Chabar
दूँध	Milk
बचपान	Childhood
पदी	In combinations series or group of lines of a stanza
केसी	Casey
होवेगीई	Will be
याकीन	Sure
रमज़ा	Ramadan
गाज़ाब	Amazing
मांगती	Asking for
दुस्ष्ट	Wicked
कुज	Kuj
ब्टाएगा	Will tell
मंगान	Mangan
फाव	Fav
कर्सकिंग	Karsking
बकलोल	Baklol
मज़ाक	joke
भट्ट	Bhatt
बदकर	with a bet
अंधियारी	Dark
रहे	Stay
ल्हायेगा	It will be
फेन	froth
लेहेन	Lehen
मोका	Moka
रेग	sand
खोला	Opened
र्टन	Raton
जैक्सन	Jackson
कुडाने	Kudne
मुंगेरीलाल	Mungerilal
एस्लेमाउलेकम	Eslemaulekam
लाइट	Light
आदे	Ade
रोने	Cry
रोये	Crying
सॉल्व	Solve
चाडा	Chada
आयशी	Aishi
तेजरामिन्सन	Tejraminsan
चोकरो	Chokaro
लगाकर	Planting
धूप	sunshine
तरपसे	Tarpase
बनाओ	Make
आइस्लैम	Ice Slam
बंधन	tie
आओगे	Will come
काधुला	Remove
माजबोरी	Majbori
हेहेह	Heheh
हैई	Hai
बोहोट	Bohot
हमसे	Us
फेसबुक	Facebook
ओईएईए	OEAEA
रस	juice
केल	Kel
हैब्बिट	Habit
रज़ा	wish
इदर	Idar
मैंगो	Mango
ग्रो	Grow
चाह	desire
मोर	peacock
ची	Chi
बेबी	Baby
बारिक	Fine
रहुलोनलीव	Rahlonleev
टाकी	Tank
एडस	AIDS
दुसमन	Dusman
अप्राधियो	Unsuccessful
डब	pouch
ओउर	Ur ur
राय	opinion
छाया	shade
भोग	Epicureanism
बेट	Bet
नफल	Failed
बरूजगर	Baruzgar
प्रभुजी	Lord,
लगना	To be attached as a label
हेलो	Hello
भावनाओ	Emotions
अभ	Now
कवि	poet
निबंध	essay
दस	the numerical figure ten
महिनेमे	In the month
थोका	Thok
रज़ान	Razan
सब	sub-
कोरी	Corey
मुबर्क	Happy birthday
धियान	Dhiyan
शा	Sha
चला	lightning
प्रियरंजन	Priyaranjan
करवाणे	To do
थोडेना	Not a little
कुम	Kum
किडा	Worm
घाट	wharf
फट्टू	Fattu
पटाके	Firecrackers
पासे	dice
हेर	Manipulated
नंबर	number
होएगी	Will be
खूब	Plenty
जिनका	That
सालमान	Salman
रुगियाई	Rugiai
पाकोडे	Pakode
प्यारा	dear
सिखाओ	Teach
बेन	Ben
उखाड़	Uproot
होगियाप्की	Hogiapki
जकदा	Jakda
झूठा	false
पोध	Plant
सिरो	Siro
सुबेह	Subeh
चाल्क	Chalk
रेपिओ	Rapio
जनम	birth
वआउउ	Wow
आवू	Aavon
स्भी	All
जीतने	Win
कायम	Permanent
लाया	Brought
तुरंत	immediately
कहासे	From where?
हवास	sense
लादत	Loading
भुका	Hungry
दीई	Dii
वसफोडा	Constipation
स्वाल	Swal
इन्सल्ला	Insalla
नफरत	disdain
वासियो	Residents
एकट	Alone
लयकब	Layout
दासो	Daso
बाज़ार	market
बेज़ती	Useless
होंगे	Will
रेल्लीय	Raille
मस्लमैन	Muslman
बोलेंगे	Will speak
गर्वी	Proud
ढूँडे	Find out
मस्टग	Mustag
उन्मे	Among them
सेवैन्या	Service
आस	hope
गी	Gie
बाटो	Share
यूजफुल	Useful
दुर्भाग्य	ill-luck
जता	
चलेंगे	Run
जैन	A sect who follow the teachings of Jain Tirthankara
देवर	husband’s younger brother
जोड़ना	to join
किसान्स	Farmers
मार्टे	Marte
बहत	Baht
जटा	Matted hair as of some sadhus
बतला	Told
माराय	Marai
हाइटब	Hitab
हाटा	Hat
देखिये	See
ताबी	Tabi
इलेक्शन	Election
उत	Products
पॉवर	Power
प्रद्युमन	Pradyuman
मुहतोद	Muhtod
पिटेगा	Beat
मुश्किल	difficult
पक्क	Sure
क्रिटी	Criti
प्राती	Copy
एक्च	Ch
वादा	promise
मू	Moo
दूबती	Doubati
न	The twentieth consonant of the losing anything Devanagari syllabary
अग्र	foremost
टाइम	time
नेगी	Negi
भटकने	Wandering
रजदीवा	Rajdiva
लार्की	Larky
हेल्प	Help
डू	Doo
उए	U a
छ्लना	Cheating
हल	solution
खोलो	open
ह्न	Hn
सिखेंगे	Will learn
ओप्टन	Opton
श्मझाया	Shmazhaya
डिटे	Dite
ग्राम	Gram
थोरी	Thori
कोये	Who is this?
आसू	Tears
लगने	Seemingly
ब्रोशा	Brosha
रखकर	Placing
विचारो	Think about it
चुट	Chute
एनफ	Enough
कोस	distance of three kilometre
आच्याचीई	Good
इम्वकोहली	Imvkohli
त्बी	Tbi
ऑल	All
जबरदस्त	tremendously
साचे	Mold
बेटिकोड	Beticode
वृन्दावन	Vrindavan
हमम	Hmm
पप्पू	Pappu
अय्येना	Ayna
वुल	Wool
आबादी	inhabited place
लेंगे	'll
सिंह	lion
उम्मीद	hope
बोये	Boy
कुट्टा	Dog
मसूमियत	Innocence
लेकेन	But
लेजाएगा	Will take
मिया	Mia
टीनो	Tino
कुदिये	Kudiya
रारुख	Rarukh
हरमज़दी	Harmajdi
हाउ	grindstone
घ्त्या	Nests
लॉग	log
अन्नाजी	Annaji
गाना	to sing
ऐप्का	App
सर्म	Sarm
ज	The eighth consonant of the Devanagari syllabary
परियान	Parian
जमाह	
समाजवादी	socialist
चिल	Chill
समप्ती	End
सतक	Satak
आरे	Ary
बेचारे	Poor
गाय	cow
पहुँचने	Access
कारियो	Do it.
मक्सद	Maxd
बूउहहत	Boouhat
बुबरखो	Bubarkho
किसे	to whom
गरबग	Garbug
खुलना	Open up
एकलाउता	Alone
धूम	smoke
खट्टे	Sour
वाकाई	Wakai
लोट	rolling
आईय	Mother
अमर	immortal
लेकी	But
डखते	Looking at
सड़कों	Streets
अख	Akh
पथर	Stone
विश्वश	The world
सोचना	to think
शेक	Shake
करवाओगे	Will you get it done?
बैथे	Sit down
उनहोनी	They are
कहने	Say
पैक	pack
मजा	pleasure
दखेगा	Will see
पागलो	I went crazy
इरादा	intention
काम्म	Work
वर्नग	Verng
करेंगे	Will
हूश	rustic
बेचता	Sells
केसाहे	How
चुन	Choose
रोज	Everyday
भान	change
आजे	Today
चेलांगे	Challenges
झाडियाँ	Bushes
क्लास	class
भुत	Ghost
गीत	song
किटनी	How much
ओच	Och
करेयेन	Will do it
कटले	Cut off
गौरी	a fair-complexioned woman
आची	Achchi
डर्र्र्र्र	Derr
प्रदीप	lamp
मेहँगी	Expensive
छोकरा	boy
मचा	Macha
फाटी	Cracked
फाड़	Tearing
मेली	associate
बानुगा	Banuga
सूरज	The sun
दांतना	Teeth
उचा	High
इन	these
जगोरी	Jagori
राखने	Keep
ब्रबर	Barbar
इंकी	Inki
गल्ट	Wrong
पक्के	Sure
दामोदर	Damodar
बनेगी	Will be made
अहहह	Ahhhh
देख	seeing
औसवस्नव	The Aust
कराटे	karate
सायंग	Sayang
दारो	Fear
इकठ्ठे	Together
लुत्ना	Looting
रजाई	quilt
जूऊ	Juu
तागडी	Strong
ख्वाब	dream
खासित	Special
बजरंगीभाई	Bajrangibhai
क्भी	Sometimes
उष्मे	Heat
पीछे	behind
भूप्पी	Bhupi
सिकाते	Sikate
बाकियों	The rest
वेस्ट	West
वोही	That's it
तोह	Toh
मूड	mood
जिसका	whose
दिजे	Give it
टुकडे	Pieces
बेटर	Better
शाजियालमी	Shajialmi
बिनाआ	Binaa
बनायेंगे	Will make
आजा	paternal grandfather
थो	
मस्स्त	Mast
मुजरिम	criminal
शुक्रिया	thanks
दिस	Dec
पेछेले	The past
खिलाओ	Feed
जितया	Won
साहिद	Shahid
सेना	to hatch egg
जुन्टा	Junta
रोंगी	Rogi
खिलती	Blooming
चिपकाया	Pasted
आईस	Ice
मूव	Move
अल्लाह	God =
अरय	Aray
येन	yen
सम्जे	Understand
सत्या	The truth
जाएगा	Will
सारिका	cuckoo
रखना	to keep
चूटिया	
प्रदेश	region
दुख	suffering
अजमेकर	Ajmer
